Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W40X331,40.8,12.2,2.13,1.22,3.31,97.7,24700,644,1210,106,1430,172,15.9,2.57,105
W40X327,40.8,12.1,2.13,1.18,3.31,95.9,24500,640,1200,105,1410,170,16,2.58,103
W40X294,40.4,12,1.93,1.06,3.11,86.2,21900,562,1080,93.5,1270,150,15.9,2.55,76.6
W40X278,40.2,12,1.81,1.03,2.99,82.3,20500,521,1020,87.1,1190,140,15.8,2.52,65
W40X264,40,11.9,1.73,0.96,2.91,77.4,19400,493,971,82.6,1130,132,15.8,2.52,56.1
W40X235,39.7,11.9,1.58,0.83,2.76,69.1,17400,444,875,74.6,1010,118,15.9,2.54,41.3
W40X211,39.4,11.8,1.42,0.75,2.6,62.1,15500,390,786,66.1,906,105,15.8,2.51,30.4
W40X183,39,11.8,1.2,0.65,2.38,53.3,13200,331,675,56,774,88.3,15.7,2.49,19.3
W40X167,38.6,11.8,1.03,0.65,2.21,49.3,11600,283,600,47.9,693,76,15.3,2.4,14
W40X149,38.2,11.8,0.83,0.63,2.01,43.8,9800,229,513,38.8,598,62.2,15,2.29,9.36
W36X925,43.1,18.6,4.53,3.02,5.28,272,73000,4940,3390,531,4130,862,16.4,4.26,1430
W36X853,43.1,18.2,4.53,2.52,5.28,251,70000,4600,3250,505,3920,805,16.7,4.28,1240
W36X802,42.6,18,4.29,2.38,5.04,236,64800,4210,3040,468,3660,744,16.6,4.22,1050
W36X723,41.8,17.8,3.9,2.17,4.65,213,57300,3700,2740,416,3270,658,16.4,4.17,785
W36X652,41.1,17.6,3.54,1.97,4.49,192,50600,3230,2460,367,2910,581,16.2,4.1,593
W36X529,39.8,17.2,2.91,1.61,3.86,156,39600,2490,1990,289,2330,454,16,4,327
W36X487,39.3,17.1,2.68,1.5,3.63,143,36000,2250,1830,263,2130,412,15.8,3.96,258
W36X441,38.9,17,2.44,1.36,3.39,130,32100,1990,1650,235,1910,368,15.7,3.92,194
W36X395,38.4,16.8,2.2,1.22,3.15,116,28500,1750,1490,208,1710,325,15.7,3.88,142
W36X361,38,16.7,2.01,1.12,2.96,106,25700,1570,1350,188,1550,293,15.6,3.85,109
W36X330,37.7,16.6,1.85,1.02,2.8,96.9,23300,1420,1240,171,1410,265,15.5,3.83,84.3
W36X302,37.3,16.7,1.68,0.945,2.63,89,21100,1300,1130,156,1280,241,15.4,3.82,64.3
W36X282,37.1,16.6,1.57,0.885,2.52,82.9,19600,1200,1050,144,1190,223,15.4,3.8,52.7
W36X262,36.9,16.6,1.44,0.84,2.39,77.2,17900,1090,972,132,1100,204,15.3,3.76,41.6
W36X247,36.7,16.5,1.35,0.8,2.3,72.5,16700,1010,913,123,1030,190,15.2,3.74,34.7
W36X231,36.5,16.5,1.26,0.76,2.21,68.2,15600,940,854,114,963,176,15.1,3.71,28.7
W36X256,37.4,12.2,1.73,0.96,2.48,75.3,16800,528,895,86.5,1040,137,14.9,2.65,52.9
W36X232,37.1,12.1,1.57,0.87,2.32,68,15000,468,809,77.2,936,122,14.8,2.62,39.6
W36X210,36.7,12.2,1.36,0.83,2.11,61.9,13200,411,719,67.5,833,107,14.6,2.58,28
W36X194,36.5,12.1,1.26,0.765,2.01,57,12100,375,664,61.9,767,97.7,14.6,2.56,22.2
W36X182,36.3,12.1,1.18,0.725,1.93,53.6,11300,347,623,57.6,718,90.7,14.5,2.55,18.5
W36X170,36.2,12,1.1,0.68,1.85,50,10500,320,581,53.2,668,83.8,14.5,2.53,15.1
W36X160,36,12,1.02,0.65,1.77,47,9760,295,542,49.1,624,77.3,14.4,2.5,12.4
W36X150,35.9,12,0.94,0.625,1.69,44.3,9040,270,504,45.1,581,70.9,14.3,2.47,10.1
W36X135,35.6,12,0.79,0.6,1.54,39.9,7800,225,439,37.7,509,59.7,14,2.38,7
W33X387,36,16.2,2.28,1.26,3.07,114,24300,1620,1350,200,1560,312,14.6,3.77,148
W33X354,35.6,16.1,2.09,1.16,2.88,104,22000,1460,1240,181,1420,282,14.5,3.74,115
W33X318,35.2,16,1.89,1.04,2.68,93.7,19500,1290,1110,161,1270,250,14.5,3.71,84.4
W33X291,34.8,15.9,1.73,0.96,2.52,85.6,17700,1160,1020,146,1160,226,14.4,3.68,65.1
W33X263,34.5,15.8,1.57,0.87,2.36,77.4,15900,1040,919,131,1040,202,14.3,3.66,48.7
W33X241,34.2,15.9,1.4,0.83,2.19,71.1,14200,933,831,118,940,182,14.1,3.62,36.2
W33X221,33.9,15.8,1.28,0.775,2.06,65.3,12900,840,759,106,857,164,14.1,3.59,27.8
W33X201,33.7,15.7,1.15,0.715,1.94,59.1,11600,749,686,95.2,773,147,14,3.56,20.8
W33X169,33.8,11.5,1.22,0.67,1.92,49.5,9290,310,549,53.9,629,84.4,13.7,2.5,17.7
W33X152,33.5,11.6,1.06,0.635,1.76,44.9,8160,273,487,47.2,559,73.9,13.5,2.47,12.4
W33X141,33.3,11.5,0.96,0.605,1.66,41.5,7450,246,448,42.7,514,66.9,13.4,2.43,9.7
W33X130,33.1,11.5,0.855,0.58,1.56,38.3,6710,218,406,37.9,467,59.5,13.2,2.39,7.37
W33X118,32.9,11.5,0.74,0.55,1.44,34.7,5900,187,359,32.6,415,51.3,13,2.32,5.3
W30X391,33.2,15.6,2.44,1.36,3.23,115,20700,1550,1250,198,1450,310,13.4,3.67,173
W30X357,32.8,15.5,2.24,1.24,3.03,105,18700,1390,1140,179,1320,279,13.3,3.64,134
W30X326,32.4,15.4,2.05,1.14,2.84,95.9,16800,1240,1040,162,1190,252,13.2,3.6,103
W30X292,32,15.3,1.85,1.02,2.64,86,14900,1100,930,144,1060,223,13.2,3.58,75.2
W30X261,31.6,15.2,1.65,0.93,2.44,77,13100,959,829,127,943,196,13.1,3.53,54.1
W30X235,31.3,15.1,1.5,0.83,2.29,69.3,11700,855,748,114,847,175,13,3.51,40.3
W30X211,30.9,15.1,1.32,0.775,2.1,62.3,10300,757,665,100,751,155,12.9,3.49,28.4
W30X191,30.7,15,1.19,0.71,1.97,56.1,9200,673,600,89.5,675,138,12.8,3.46,21
W30X173,30.4,15,1.07,0.655,1.85,50.9,8230,598,541,79.8,607,123,12.7,3.42,15.6
W30X148,30.7,10.5,1.18,0.65,1.83,43.6,6680,227,436,43.3,500,68,12.4,2.28,14.5
