Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W21X93,21.6,8.42,0.93,0.58,1.43,27.3,2070,92.9,192,22.1,221,34.7,8.7,1.84,6.03
W21X83,21.4,8.36,0.835,0.515,1.34,24.4,1830,81.4,171,19.5,196,30.5,8.67,1.83,4.34
W21X73,21.2,8.3,0.74,0.455,1.24,21.5,1600,70.6,151,17,172,26.6,8.64,1.81,3.02
W21X68,21.1,8.27,0.685,0.43,1.19,20,1480,64.7,140,15.7,160,24.4,8.6,1.8,2.45
W21X62,21,8.24,0.615,0.4,1.12,18.3,1330,57.5,127,14,144,21.7,8.54,1.77,1.83
W21X55,20.8,8.22,0.522,0.375,1.02,16.2,1140,48.4,110,11.8,126,18.4,8.4,1.73,1.24
W21X48,20.6,8.14,0.43,0.35,0.93,14.1,959,38.7,93,9.52,107,14.9,8.24,1.66,0.803
W21X57,21.1,6.56,0.65,0.405,1.15,16.7,1170,30.6,111,9.35,129,14.8,8.36,1.35,1.77
W21X50,20.8,6.53,0.535,0.38,1.04,14.7,984,24.9,94.5,7.64,110,12.2,8.18,1.3,1.14
W21X44,20.7,6.5,0.45,0.35,0.95,13,843,20.7,81.6,6.37,95.4,10.2,8.06,1.26,0.77
W18X311,22.3,12,2.74,1.52,3.24,91.6,6970,795,624,132,754,207,8.72,2.95,176
W18X283,21.9,11.9,2.5,1.4,3,83.3,6170,704,565,118,676,185,8.61,2.91,134
W18X258,21.5,11.8,2.3,1.28,2.7,76,5510,628,514,107,611,166,8.53,2.88,103
W18X234,21.1,11.7,2.11,1.16,2.51,68.6,4900,558,466,95.8,549,149,8.44,2.85,78.7
W18X211,20.7,11.6,1.91,1.06,2.31,62.3,4330,493,419,85.3,490,132,8.35,2.82,58.6
W18X192,20.4,11.5,1.75,0.96,2.15,56.2,3870,440,380,76.8,442,119,8.28,2.79,44.7
W18X175,20,11.4,1.59,0.89,1.99,51.4,3450,391,344,68.8,398,106,8.2,2.76,33.8
W18X158,19.7,11.3,1.44,0.81,1.84,46.3,3060,347,310,61.4,356,94.8,8.12,2.74,25.2
W18X143,19.5,11.2,1.32,0.73,1.72,42,2750,311,282,55.5,322,85.4,8.09,2.72,19.2
W18X130,19.3,11.2,1.2,0.67,1.6,38.3,2460,278,256,49.9,290,76.7,8.03,2.7,14.5
W18X119,19,11.3,1.06,0.655,1.46,35.1,2190,253,231,44.9,262,69.1,7.9,2.69,10.6
W18X106,18.7,11.2,0.94,0.59,1.34,31.1,1910,220,204,39.4,230,60.5,7.84,2.66,7.48
W18X97,18.6,11.1,0.87,0.535,1.27,28.5,1750,201,188,36.1,211,55.3,7.82,2.65,5.86
W18X86,18.4,11.1,0.77,0.48,1.17,25.3,1530,175,166,31.6,186,48.4,7.77,2.63,4.1
W18X76,18.2,11,0.68,0.425,1.08,22.3,1330,152,146,27.6,163,42.2,7.73,2.61,2.83
W18X71,18.5,7.64,0.81,0.495,1.21,20.9,1170,60.3,127,15.8,146,24.7,7.5,1.7,3.49
W18X65,18.4,7.59,0.75,0.45,1.15,19.1,1070,54.8,117,14.4,133,22.5,7.49,1.69,2.73
W18X60,18.2,7.56,0.695,0.415,1.1,17.6,984,50.1,108,13.3,123,20.6,7.47,1.68,2.17
W18X55,18.1,7.53,0.63,0.39,1.03,16.2,890,44.9,98.3,11.9,112,18.5,7.41,1.67,1.66
W18X50,18,7.5,0.57,0.355,0.972,14.7,800,40.1,88.9,10.7,101,16.6,7.38,1.65,1.24
W18X46,18.1,6.06,0.605,0.36,1.01,13.5,712,22.5,78.8,7.43,90.7,11.7,7.25,1.29,1.22
W18X40,17.9,6.02,0.525,0.315,0.927,11.8,612,19.1,68.4,6.35,78.4,10,7.21,1.27,0.81
W18X35,17.7,6,0.425,0.3,0.827,10.3,510,15.3,57.6,5.12,66.5,8.06,7.04,1.22,0.506
W16X100,17,10.4,0.985,0.585,1.39,29.4,1490,186,175,35.7,198,54.9,7.1,2.51,7.73
W16X89,16.8,10.4,0.875,0.525,1.28,26.2,1300,163,155,31.4,175,48.1,7.05,2.49,5.45
W16X77,16.5,10.3,0.76,0.455,1.16,22.6,1110,138,134,26.9,150,41.1,7,2.47,3.57
W16X67,16.3,10.2,0.665,0.395,1.07,19.6,954,119,117,23.2,130,35.5,6.96,2.46,2.39
W16X57,16.4,7.12,0.715,0.43,1.12,16.8,758,43.1,92.2,12.1,105,18.9,6.72,1.6,2.22
W16X50,16.3,7.07,0.63,0.38,1.03,14.7,659,37.2,81,10.5,92,16.3,6.68,1.59,1.52
